2011-01-01 00:20,2,FEW,-DZ BR
2011-01-01 01:20,2,OVC,-DZ BR
2011-01-01 02:20,3,FEW,-DZ BR
2011-01-01 03:20,3,OVC,-DZ BR
2011-01-01 04:20,3,FEW,-DZ
2011-01-01 05:20,4,FEW,-RADZ BR
2011-01-01 06:20,3,FEW,M
2011-01-01 07:20,3,FEW,M
2011-01-01 08:20,3,SCT,M
2011-01-01 09:20,3,FEW,M
2011-01-01 10:20,4,FEW,M
2011-01-01 11:20,4,FEW,M
2011-01-01 12:20,4,FEW,M
2011-01-01 13:20,4,FEW,M
2011-01-01 14:20,3,FEW,M
2011-01-01 15:20,3,BKN,M
2011-01-01 16:20,3,FEW,M
2011-01-01 17:20,2,FEW,M
2011-01-01 18:20,1,FEW,M
2011-01-01 19:20,1,M,M
2011-01-01 20:20,1,FEW,M
2011-01-01 21:20,1,SCT,M
2011-01-01 22:20,2,BKN,M
2011-01-01 23:20,2,BKN,M
2011-01-02 00:20,1,SCT,M
2011-01-02 01:20,0,FEW,M
2011-01-02 02:20,0,SCT,M
2011-01-02 03:20,1,SCT,M
2011-01-02 04:20,1,FEW,M
2011-01-02 05:20,0,FEW,M
2011-01-02 06:20,0,M,M
2011-01-02 07:20,-1,FEW,M
2011-01-02 08:20,-1,M,M
2011-01-02 09:20,0,SCT,M
2011-01-02 10:20,1,SCT,M
2011-01-02 11:20,2,SCT,M
2011-01-02 12:20,3,SCT,M
2011-01-02 13:20,3,BKN,M
2011-01-02 14:20,2,FEW,M
2011-01-02 15:20,2,FEW,M
2011-01-02 16:20,1,SCT,M
2011-01-02 17:20,1,FEW,M
2011-01-02 18:20,1,BKN,M
2011-01-02 19:20,1,BKN,M
2011-01-02 20:20,0,BKN,M
2011-01-02 21:20,0,BKN,M
2011-01-02 22:20,0,BKN,M
2011-01-02 23:20,0,BKN,M
2011-01-03 00:20,0,SCT,M
2011-01-03 01:20,-1,FEW,M
2011-01-03 02:20,-1,BKN,M
2011-01-03 03:20,-2,BKN,BR
2011-01-03 04:20,-2,OVC,BR
2011-01-03 05:20,-2,BKN,BR
2011-01-03 06:20,-2,BKN,BR
2011-01-03 07:20,-3,BKN,BCFG BR
2011-01-03 08:20,-3,VV ,FZFG
2011-01-03 09:20,-2,BKN,BR
2011-01-03 12:20,1,FEW,M
2011-01-03 13:20,1,FEW,M
2011-01-03 14:20,0,BKN,M
2011-01-03 15:20,0,BKN,M
2011-01-03 16:20,0,BKN,BR
2011-01-03 17:20,0,OVC,BR
2011-01-03 18:20,1,BKN,M
2011-01-03 19:20,1,FEW,M
2011-01-03 20:20,1,BKN,M
2011-01-03 21:20,1,BKN,M
2011-01-03 22:20,1,BKN,M
2011-01-03 23:20,1,BKN,M
2011-01-04 00:20,1,BKN,M
2011-01-04 01:20,1,BKN,M
2011-01-04 02:20,1,BKN,BR
2011-01-04 03:20,1,BKN,M
2011-01-04 04:20,1,BKN,M
2011-01-04 05:20,1,FEW,M
2011-01-04 06:20,0,FEW,M
2011-01-04 07:20,0,BKN,BR
2011-01-04 08:20,0,BKN,-SN BR
2011-01-04 09:20,1,SCT,BR
2011-01-04 10:20,1,FEW,BR
2011-01-04 11:20,1,BKN,BR
2011-01-04 12:20,1,SCT,M
2011-01-04 13:20,1,M,M
2011-01-04 14:20,1,M,M
2011-01-04 15:20,1,BKN,M
